Kepler-127c	TIC-164881786
Kepler-127d	TIC-164881786
Kepler-128b	TIC-123490545
Kepler-128c	TIC-123490545
Kepler-129b	TIC-164999822
Kepler-129c	TIC-164999822
Kepler-130b	TIC-121603794
Kepler-130c	TIC-121603794
Kepler-130d	TIC-121603794
Kepler-131b	TIC-121660708
Kepler-131c	TIC-121660708
Kepler-1311b	TIC-159106207
Kepler-1311c	TIC-159106207
Kepler-1319b	TIC-417676990
Kepler-132b	TIC-237158274
Kepler-132c	TIC-237158274
Kepler-132d	TIC-237158274
Kepler-132e	TIC-237158274
Kepler-1321b	TIC-271165895
Kepler-1321c	TIC-271165895
Kepler-133b	TIC-28089143
Kepler-133c	TIC-28089143
Kepler-1336b	TIC-272278272
Kepler-1336c	TIC-272278272
Kepler-134b	TIC-48448369
Kepler-134c	TIC-48448369
Kepler-1341b	TIC-123126460
Kepler-135b	TIC-122450088
Kepler-135c	TIC-122450088
Kepler-1350b	TIC-158664221
Kepler-1350c	TIC-158664221
Kepler-136b	TIC-272375343
Kepler-136c	TIC-272375343
Kepler-1365b	TIC-63122176
Kepler-1365c	TIC-63122176
Kepler-137b	TIC-123415819
Kepler-137c	TIC-123415819
Kepler-1370b	TIC-120253552
Kepler-1370c	TIC-120253552
Kepler-1371b	TIC-158840095
Kepler-1371c	TIC-158840095
Kepler-138b	TIC-159376971
Kepler-138c	TIC-159376971
Kepler-138d	TIC-159376971
Kepler-1388b	TIC-164524311
Kepler-1388c	TIC-164524311
Kepler-1388d	TIC-164524311
Kepler-1388e	TIC-164524311
Kepler-139b	TIC-123450224
Kepler-139c	TIC-123450224
Kepler-1398b	TIC-27239111
Kepler-1398c	TIC-27239111
Kepler-14b	TIC-158561566
Kepler-140b	TIC-158487888
Kepler-140c	TIC-158487888
Kepler-141b	TIC-273681580
Kepler-141c	TIC-273681580
Kepler-142b	TIC-27394293
Kepler-142c	TIC-27394293
Kepler-142d	TIC-27394293
Kepler-143b	TIC-28364164
