#Name,#tic_id,#Per,#Per_err,#Ecc,#Ecc_err,#T0,#T0_err,#a/R*,#a/R*_err,#Rp/R*,#Rp/R*_err,#Teff,#M/H,#logg,#RA,#DEC,#Nos_of_stars,#sum
Kepler-607 b,TIC 159579593,0.6381632,1.68E-06,,,2454964.74909,0.00235,,,0.01018,0.00047,5196,-0.02,4.56,291.0571451,44.632306,1,2
Kepler-608 b,TIC 270786157,6.41251504,5.42E-06,,,2455002.87959,0.00067,,,0.03329,0.0003,5820,-0.02,4.43,293.882901,44.6380717,1,4
Kepler-609 b,TIC 63126989,6.52121067,8.64E-06,,,2455008.71083,0.00109,,,0.02651,0.00218,5971,0.06,4.36,292.2203009,44.6999902,1,4
Kepler-61 b,TIC 271537530,59.87756,0.0002,0.25,,2454984.188,0.0029,90.6,3.4,0.03301,0.00085,4017,0.03,,295.3044942,42.4753193,1,4
Kepler-611 b,TIC 158113449,2.4370333,5.03E-06,,,2455003.73724,0.00169,,,0.01498,0.00294,5761,0.06,4.43,286.0049121,45.4803043,1,4
Kepler-612 b,TIC 159723305,3.72215641,3.76E-06,,,2455004.560286,0.000826,,,0.02731,0.00412,5693,0.04,4.46,291.3546278,45.7478551,1,4
Kepler-613 b,TIC 164407908,15.77979614,4.258E-05,,,2455008.97014,0.00215,,,0.02204,0.00083,5723,-0.01,4.47,282.7868415,46.2449846,1,4
Kepler-614 b,TIC 274017990,14.03491514,2.597E-05,,,2455004.60509,0.00136,,,0.02741,0.00028,5268,-0.07,4.55,298.3848866,46.2759867,1,4
Kepler-615 b,TIC 123492903,10.35584657,1.854E-05,,,2455008.68166,0.00142,,,0.02308,0.00076,4655,-0.07,4.62,282.4506927,46.3213671,1,4
Kepler-617 b,TIC 164557035,1.68269615,1.11E-06,,,2455003.452972,0.000534,,,0.02476,0.00063,3712,-0.07,4.77,283.7407247,47.5161237,1,4
Kepler-618 b,TIC 405719849,3.59576964,8.82E-06,,,2455003.36964,0.00193,,,0.02162,0.00013,5860,0.08,4.39,286.2498525,48.0609256,1,6
Kepler-620 b,TIC 350737935,12.91375431,4.951E-05,,,2455010.28248,0.00306,,,0.02516,0.00017,6155,0.03,4.33,291.1593939,51.3348228,1,4
Kepler-621 b,TIC 122706051,2.62811375,1.77E-06,,,2455002.719741,0.00053,,,0.03107,0.00012,4521,-0.02,4.63,290.927245,39.9141166,1,1
Kepler-622 b,TIC 120254625,14.28226676,2.663E-05,,,2455013.84726,0.00153,,,0.03202,0.00407,4201,-0.09,4.67,284.4784454,40.9331723,1,4
Kepler-623 b,TIC 272842291,9.07097734,1.283E-05,,,2455011.34331,0.00108,,,0.03179,0.00075,5443,-0.03,4.53,296.9867284,47.4773531,1,4
Kepler-624 b,TIC 138972811,14.58649607,2.876E-05,,,2455005.2223,0.00158,,,0.01848,0.00019,6117,-0.06,4.33,295.1933631,39.5396946,1,1
Kepler-626 b,TIC 121734202,14.48585199,2.363E-05,,,2455008.00558,0.00132,,,0.01974,0.00057,5813,0.01,4.4,288.6986828,39.7082044,1,2
Kepler-627 b,TIC 137413972,40.6994443,0.0001783,,,2455005.56683,0.00326,,,0.0226,9E-05,6424,0.05,4.21,292.1042198,39.7678585,1,1
Kepler-628 b,TIC 122447780,15.4580567,2.95E-06,,,2455006.782495,0.000149,,,0.05981,5E-05,5721,0.04,4.22,290.4492955,39.854802,1,2
Kepler-629 b,TIC 122063843,7.2385854,1.18E-05,,,2455004.219,0.00127,,,0.01495,0.00051,5444,0.01,4.55,289.4179128,39.9450757,1,2
Kepler-63 b,TIC 299158887,9.4341505,1E-06,0.45,,2455010.84307,5E-05,19.12,0.08,0.0622,0.001,5576,0.05,4.52,289.2262876,49.5482814,1,4
Kepler-630 b,TIC 138216186,161.4743937,0.0009011,,,2455003.60316,0.00406,,,0.02796,0.0003,5829,0.03,4.42,293.4270647,39.9423967,1,0
Kepler-631 b,TIC 168816237,17.97979059,3.77E-05,,,2455015.24346,0.00171,,,0.02014,0.00034,6185,0.23,4.28,296.885724,40.2281717,1,3
Kepler-632 b,TIC 169181786,30.99660733,4.756E-05,,,2455024.7859,0.00119,,,0.02419,0.00357,5322,0.11,4.55,297.252613,40.288605,1,3
Kepler-633 b,TIC 138969239,8.50340718,2.68E-05,,,2455003.86761,0.00235,,,0.01287,0.00036,5899,-0.05,4.32,295.2173259,40.5921599,1,3
Kepler-634 b,TIC 137089993,5.16950177,1.029E-05,,,2455003.31319,0.00156,,,0.01354,0.00027,6075,-0.18,4.26,291.19509,40.7027352,1,2
Kepler-635 b,TIC 394174221,23.44971004,7.672E-05,,,2455015.92292,0.00252,,,0.01619,0.00048,6174,0.41,4.2,289.7732613,40.8007019,1,2
Kepler-636 b,TIC 138297607,16.08066115,5.6E-06,,,2455015.760005,0.000276,,,0.05072,0.00071,5203,-0.02,4.56,293.5920614,41.0950891,2,2
