#
# RESULTS FROM OUR FITS
# ---------------------
#
# Below, you will find the results of our fits. Next to each of the paramerters there are "UE" and "DE" columns which represents the "Upper Errors" and "Down Errors" --- i.e., the upper and lower bands of the 68% credibility bands (1-sigma errors).
# Note there are some planets commented out --- these are planets for which the actual lightcurve SNR is very bad for some reason (probably blended targets).
#
# Planet        Depth   UE      DE      rp/rs   UE      DE      b       UE      DE      q1      UE      DE      q2      UE      DE      u1      UE      DE      u2      UE      DE      a/rs    UE      DE      t0              UE      DE      P               UE              DE              Sectors observed/fitted
TOI-1728b	5020	237	342	0.0709	0.0017	0.0025	0.51	0.12	0.27	0.26	0.29	0.13	0.27	0.36	0.19	0.28	0.22	0.18	0.23	0.33	0.32	12.50	1.37	1.16	2458853.74968	0.00031	0.00031	3.491516	0.000052	0.000051	20
L168-9b	        543	35	34	0.02331	0.00074	0.00073	0.37	0.29	0.23	0.141	0.200	0.096	0.41	0.34	0.27	0.27	0.26	0.17	0.06	0.27	0.19	8.73	0.61	1.64	2459082.85700	0.00040	0.00039	1.4015272	0.0000011	0.0000012	1,28
HATS-46b	11780	646	776	0.1085	0.0029	0.0036	0.604	0.070	0.104	0.49	0.26	0.19	0.43	0.28	0.23	0.59	0.27	0.29	0.10	0.38	0.34	13.37	1.06	0.87	2459112.39408	0.00057	0.00057	4.7423719	0.0000036	0.0000036	1,2,28,29
TOI-481b	3890	57	41	0.06237	0.00045	0.00033	0.23	0.10	0.10	0.358	0.068	0.060	0.241	0.074	0.060	0.290	0.061	0.058	0.31	0.10	0.11	12.47	0.23	0.36	2459245.15364	0.00027	0.00028	10.3311562	0.0000055	0.0000056	6,7,9,10,13,27,30,33,34
LP714-47b	5684	327	477	0.0754	0.0021	0.0032	0.757	0.034	0.079	0.54	0.26	0.17	0.41	0.26	0.22	0.60	0.27	0.30	0.14	0.37	0.35	15.46	1.51	0.81	2459196.11490	0.00031	0.00030	4.0520340	0.0000018	0.0000020	5,32
#WASP-34b	518908	319352	367543	0.72	0.20	0.33	1.61	0.20	0.35	0.046	0.075	0.033	0.60	0.27	0.35	0.23	0.24	0.15	-0.03	0.12	0.14	9.46	0.38	0.40	2458555.05820	0.00021	0.00024	4.3176804	0.0000045	0.0000046	9
XO-7b	        8856	192	130	0.09410	0.00101	0.00069	0.769	0.012	0.013	0.176	0.069	0.053	0.23	0.35	0.17	0.20	0.24	0.14	0.22	0.18	0.28	6.08	0.12	0.11	2459034.48817	0.00015	0.00015	2.8641413	0.0000040	0.0000040	25,26
HATS-69b	10653	709	576	0.1032	0.0034	0.0028	0.25	0.21	0.16	0.49	0.28	0.21	0.51	0.27	0.24	0.70	0.24	0.28	-0.01	0.37	0.31	7.53	0.28	0.59	2459046.04132	0.00065	0.00063	2.2252577	0.0000017	0.0000017	27
TOI-824b	2103	253	465	0.0459	0.0027	0.0054	0.821	0.052	0.322	0.63	0.22	0.23	0.40	0.27	0.24	0.62	0.38	0.37	0.15	0.39	0.40	5.54	2.57	0.70	2458652.14033	0.00047	0.00046	1.392980	0.000014	0.000014	11,12
HATS-14b	14277	448	551	0.1195	0.0019	0.0023	0.39	0.12	0.19	0.114	0.171	0.073	0.27	0.34	0.20	0.17	0.16	0.12	0.14	0.26	0.19	8.58	0.49	0.54	2459084.22029	0.00053	0.00052	2.7667630	0.0000020	0.0000019	1,28
HAT-P-69b	7207	151	139	0.08489	0.00089	0.00082	0.26	0.10	0.15	0.173	0.090	0.064	0.40	0.24	0.17	0.332	0.098	0.101	0.08	0.19	0.18	7.68	0.19	0.25	2459237.77170	0.00023	0.00023	4.7869491	0.0000019	0.0000018	34
HATS-7b	        4481	563	449	0.0669	0.0041	0.0034	0.46	0.26	0.27	0.37	0.37	0.24	0.40	0.32	0.26	0.42	0.42	0.27	0.10	0.36	0.31	10.12	1.20	2.22	2458611.4905	0.0013	0.0014	3.1853149	0.0000049	0.0000046	11
WASP-6b	        21117	421	572	0.1453	0.0014	0.0020	0.332	0.052	0.084	0.28	0.17	0.11	0.32	0.21	0.14	0.335	0.102	0.098	0.19	0.23	0.21	10.81	0.21	0.18	2459110.25922	0.00015	0.00014	3.36100320	0.00000082	0.00000090	2,29
WASP-66b	6637	215	205	0.0815	0.0013	0.0013	0.25	0.19	0.16	0.180	0.177	0.086	0.44	0.32	0.27	0.36	0.16	0.19	0.05	0.32	0.22	7.33	0.25	0.50	2458552.34231	0.00068	0.00067	4.0860502	0.0000065	0.0000064	9
WASP-25b	19893	327	388	0.1410	0.0012	0.0014	0.386	0.047	0.062	0.138	0.084	0.039	0.68	0.20	0.24	0.499	0.071	0.096	-0.13	0.19	0.11	11.20	0.25	0.22	2458580.52049	0.00014	0.00014	3.7648304	0.0000045	0.0000048	10
WASP-43b	26077	548	800	0.1615	0.0017	0.0025	0.698	0.012	0.014	0.303	0.198	0.090	0.50	0.33	0.33	0.55	0.22	0.31	0.00	0.46	0.30	4.718	0.053	0.054	2458555.805672	0.000048	0.000045	0.81347489	0.00000094	0.00000095	9
GJ1252b	        762	70	51	0.02761	0.00123	0.00093	0.38	0.27	0.22	0.36	0.28	0.18	0.43	0.31	0.25	0.48	0.29	0.26	0.08	0.37	0.30	5.02	0.36	0.83	2459060.40646	0.00040	0.00033	0.51824183	0.00000072	0.00000064	13,27
KELT-12b	5059	106	123	0.07113	0.00074	0.00087	0.510	0.059	0.080	0.128	0.069	0.039	0.61	0.26	0.30	0.42	0.12	0.15	-0.08	0.24	0.15	6.46	0.30	0.26	2459030.90211	0.00042	0.00042	5.031617	0.000029	0.000028	25,26
TOI-122b	5726	586	544	0.0757	0.0038	0.0037	0.42	0.26	0.26	0.29	0.34	0.20	0.37	0.31	0.23	0.34	0.34	0.22	0.12	0.33	0.25	31.04	3.54	6.02	2459080.66878	0.00087	0.00107	5.0780295	0.0000078	0.0000081	1,27,28
HATS-57b	15031	448	504	0.1226	0.0018	0.0021	0.350	0.091	0.145	0.25	0.21	0.12	0.22	0.26	0.14	0.23	0.14	0.13	0.28	0.26	0.27	7.58	0.27	0.27	2459155.95828	0.00020	0.00019	2.3506209	0.0000012	0.0000012	31
HATS-4b	        14274	685	551	0.1195	0.0028	0.0023	0.29	0.16	0.18	0.45	0.29	0.20	0.32	0.24	0.16	0.43	0.15	0.17	0.25	0.31	0.31	8.19	0.30	0.46	2459226.05611	0.00034	0.00033	2.5167281	0.0000013	0.0000014	6,33
HD332231b	5144	73	71	0.07172	0.00051	0.00050	0.116	0.104	0.074	0.165	0.086	0.059	0.40	0.23	0.18	0.329	0.099	0.109	0.08	0.19	0.17	24.25	0.19	0.40	2458729.68068	0.00035	0.00036	18.71204	0.00040	0.00039	14,15
CoRoT-19b	6397	297	321	0.0800	0.0018	0.0020	0.25	0.22	0.16	0.15	0.24	0.10	0.26	0.34	0.18	0.18	0.19	0.12	0.16	0.29	0.21	6.59	0.25	0.55	2459224.7267	0.0016	0.0017	3.897131	0.000011	0.000011	6,33
HATS-17b	5807	443	342	0.0762	0.0029	0.0023	0.30	0.25	0.19	0.47	0.30	0.24	0.32	0.29	0.20	0.43	0.29	0.26	0.24	0.34	0.35	25.01	1.28	3.01	2458618.3447	0.0017	0.0018	16.254613	0.000070	0.000067	10,11
HATS-71b	48442	1146	1643	0.2201	0.0026	0.0038	0.354	0.065	0.100	0.123	0.161	0.069	0.35	0.32	0.23	0.24	0.13	0.13	0.10	0.27	0.19	16.84	0.44	0.44	2459111.32287	0.00022	0.00021	3.79551950	0.00000077	0.00000084	1,2,28,29
WASP-5b	        12329	208	288	0.11104	0.00093	0.00130	0.361	0.059	0.098	0.196	0.125	0.076	0.35	0.25	0.17	0.31	0.11	0.12	0.14	0.23	0.20	5.40	0.15	0.13	2459111.09959	0.00015	0.00015	1.62842997	0.00000048	0.00000046	2,29
HATS-32b	13035	670	680	0.1142	0.0029	0.0030	0.24	0.19	0.15	0.26	0.32	0.16	0.31	0.34	0.21	0.31	0.22	0.19	0.18	0.35	0.28	7.95	0.29	0.49	2459109.77173	0.00087	0.00088	2.8126535	0.0000037	0.0000037	2,29
KELT-11b	2256	56	61	0.04750	0.00059	0.00065	0.541	0.044	0.061	0.181	0.049	0.032	0.71	0.18	0.22	0.60	0.10	0.14	-0.18	0.18	0.13	4.61	0.18	0.15	2458553.81381	0.00033	0.00033	4.736099	0.000029	0.000027	9
CoRoT-13b	10088	1477	1324	0.1004	0.0071	0.0068	0.39	0.28	0.24	0.39	0.35	0.26	0.38	0.33	0.25	0.41	0.44	0.27	0.12	0.36	0.32	10.76	1.25	2.13	2459225.3771	0.0034	0.0029	4.035150	0.000026	0.000025	6,33
HATS-5b	        11494	451	475	0.1072	0.0021	0.0022	0.430	0.086	0.145	0.52	0.26	0.21	0.22	0.20	0.12	0.31	0.17	0.16	0.42	0.28	0.32	12.29	0.68	0.57	2459198.51282	0.00035	0.00035	4.7633877	0.0000034	0.0000035	5,32
NGTS-1b	        36166	12367	9220	0.190	0.030	0.026	0.913	0.050	0.058	0.55	0.26	0.28	0.49	0.29	0.28	0.65	0.51	0.39	0.01	0.40	0.40	12.41	0.75	0.55	2459226.97783	0.00046	0.00045	2.6473049	0.0000029	0.0000028	5,6,32,33
