121-125  F5.3   ---    tc_lit_e [0.0/0.19] 1-sigma errors on predicted transit
                               time
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
HATS-44b  0.1247 0.0065 0.0057 10.32 1.00 0.74 1225.01469 0.00061 0.00059 0.1290 0.0100 0.0100  9.24 0.38 0.38 1225.015 0.003
WASP-96b  0.1186 0.0016 0.0017  9.03 0.30 0.29 1111.30170 0.00031 0.00031 0.1176 0.0082 0.0082  9.30 0.52 0.52 1111.304 0.002
WASP-101b 0.1089 0.0009 0.0007  8.31 0.11 0.11 1226.88791 0.00013 0.00013 0.1123 0.0009 0.0009  8.45 0.30 0.30 1226.899 0.003
HATS-22b  0.1404 0.0059 0.0052 15.53 1.50 1.39  580.43623 0.00039 0.00041 0.1426 0.0025 0.0025 15.70 0.39 0.39  580.435 0.002
WASP-167b 0.1001 0.0010 0.0009  4.18 0.10 0.09  582.07235 0.00022 0.00021 0.0907 0.0039 0.0039  4.39 0.14 0.14  582.073 0.001
TOI-157b  0.1134 0.0014 0.0012  6.30 0.09 0.09 1252.08311 0.00012 0.00012 0.1133 0.0006 0.0006  5.79 0.07 0.07 1252.085 0.001
WASP-17b  0.1218 0.0016 0.0014  7.32 0.11 0.18  638.33209 0.00026 0.00026 0.1293 0.0008 0.0008  8.97 0.62 0.62  638.272 0.009
TOI-677b  0.0891 0.0023 0.0020 19.45 1.10 1.07  592.42113 0.00026 0.00026 0.0942 0.0010 0.0010 17.46 0.50 0.50  592.421 0.001
WASP-169b 0.0767 0.0015 0.0014  7.10 0.18 0.45 1240.15837 0.00091 0.00088 0.0668 0.0021 0.0021  7.30 0.68 0.68 1240.156 0.003
KELT-20b  0.1157 0.0005 0.0005  7.53 0.06 0.07  694.73670 0.00006 0.00006 0.1144 0.0006 0.0006  7.42 0.13 0.13  694.739 0.001
WASP-120b 0.0749 0.0007 0.0007  6.78 0.18 0.16 1166.48376 0.00024 0.00024 0.0812 0.0072 0.0072  5.90 0.33 0.33 1166.485 0.003
WASP-71b  0.0646 0.0007 0.0006  4.67 0.07 0.15  421.85363 0.00032 0.00033 0.0669 0.0080 0.0080  4.30 0.27 0.27  421.841 0.006
HAT-P-18b 0.1324 0.0021 0.0016 17.25 0.27 0.41 1033.31735 0.00021 0.00022 0.1365 0.0015 0.0015 16.04 0.75 0.75 1033.312 0.005
HAT-P-12b 0.1387 0.0027 0.0029 11.24 0.44 0.49  943.18190 0.00025 0.00024 0.1406 0.0013 0.0013 11.77 0.15 0.15  943.184 0.003
XO-1b     0.1315 0.0016 0.0020 11.04 0.28 0.25  968.34713 0.00014 0.00014 0.1326 0.0004 0.0004 11.37 0.47 0.47  968.380 0.035
TOI-251b  0.0280 0.0015 0.0013 16.30 1.23 3.18 1107.83910 0.00100 0.00110 0.0286 0.0011 0.0011 14.02 0.82 0.82 1107.846 0.004
HATS-26b  0.0917 0.0022 0.0020  5.11 0.20 0.37  568.15578 0.00092 0.00091 0.0879 0.0055 0.0055  5.01 0.27 0.27  568.153 0.004
HATS-40b  0.0686 0.0026 0.0024  4.66 0.31 0.70 1211.76630 0.00200 0.00190 0.0716 0.0034 0.0034  4.74 0.22 0.22 1211.761 0.004
